OMDb_Title,OMDb_Director,OMDb_Gender,OMDb_Year,OMDb_Country,Spalte_voller_Unsinn,OMDb_Genre 1,OMDb_Genre 2,OMDb_Genre 3,OMDb_Language,OMDb_Runtime,IMDb_Rating,OMDb_Actors,OMDb_Ploooooooooooot,IMDb_Votes,IMDb ID
black panther,Ryan Coogler,male,2018,United States,hier,Action,Adventure,Sci-Fi,"English, Swahili, Nama, Xhosa, Korean",134 min,7.2999999999999998,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o","T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past.",717848,tt1825683
roma,Alfonso Cuarón,male,2018,"Mexico, United States",steht,Drama,,,"Spanish, Mixtec, English, Japanese, German, French, Norwegian",135 min,7.7000000000000002,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey",A year in the life of a middle-class family's maid in Mexico City in the early 1970s.,154377,tt6155172
ready player one,Steven Spielberg, male,2018,"United States, India",einfach,Action,Adventure,Sci-Fi,English,140 min,7.4000000000000004,"Tye Sheridan, Olivia Cooke, Ben Mendelsohn","When the creator of a virtual reality called the OASIS dies, he makes a posthumous challenge to all OASIS users to find his Easter Egg, which will give the finder his fortune and control of his world.",419880,tt1677720
annihilation,Alex Garland,male,2018,"United States, United Kingdom",so,Adventure,Drama,Horror,English,115 min,6.7999999999999998,"Natalie Portman, Jennifer Jason Leigh, Tessa Thompson","A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.",313824,tt2798920
blackkklansman,Spike Lee,male,2018,United States,gar,Biography,Comedy,Crime,English,135 min,7.5,"John David Washington, Adam Driver, Laura Harrier","Ron Stallworth, an African American police officer from Colorado Springs, CO, successfully manages to infiltrate the local Ku Klux Klan branch with the help of a Jewish surrogate who eventually becomes its leader. Based on actual eve",254868,tt7349662
wonder woman,Patty Jenkins,female,2017,United States,nichts,Action,Adventure,Fantasy,"English, German, Dutch, Flemish, French, Spanish, Chinese, Greek, Ancient (to 1453), North American Indian",141 min,7.4000000000000004,"Gal Gadot, Chris Pine, Robin Wright","When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny.",635490,tt0451279
lady bird,Greta Gerwig,female,2017,United States,Nützliches,Comedy,Drama,,"English, Spanish",94 min,7.4000000000000004,"Saoirse Ronan, Laurie Metcalf, Tracy Letts","In 2002, an artistically inclined seventeen-year-old girl comes of age in Sacramento, California.",277790,tt4925292
blade runner 2049,Denis Villeneuve,male,2017,"United States, United Kingdom, Canada, Spain",aber,Action,Drama,Mystery,"English, Finnish, Japanese, Hungarian, Russian, Somali, Spanish",164 min,8,"Harrison Ford, Ryan Gosling, Ana de Armas","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",537789,tt1856101
the shape of water,Guillermo del Toro,male,2017,"United States, Mexico",auch,Drama,Fantasy,Romance,"English, American Sign , Russian, French",123 min,7.2999999999999998,"Sally Hawkins, Octavia Spencer, Michael Shannon","At a top secret research facility in the 1960s, a lonely janitor forms a unique relationship with an amphibious creature that is being held in captivity.",408323,tt5580390
call me by your name,Luca Guadagnino,male,2017,"Italy, France, United States, Brazil",wirklich,Drama,Romance,,"English, Italian, French, German, Hebrew",132 min,7.7999999999999998,"Armie Hammer, Timothée Chalamet, Michael Stuhlbarg","In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",258131,tt5726616
